"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 23:39:02 SGT 2024","Thu Mar 07 23:39:02 SGT 2024","394","","tests.unittest.test_mars_air.TestPromo-20240307233855","","tests.unittest.test_mars_air.TestPromo","","test_invalid_promo_invalid_format",""
"failed","Thu Mar 07 23:38:57 SGT 2024","Thu Mar 07 23:38:57 SGT 2024","405","","tests.unittest.test_mars_air.TestBasicSearch-20240307233855","","tests.unittest.test_mars_air.TestBasicSearch","","test_basic_search_ret_not_selected",""
"passed","Thu Mar 07 23:39:10 SGT 2024","Thu Mar 07 23:39:13 SGT 2024","3390","","tests.unittest.test_mars_air_ui.TestReturnToHome-20240307233855","","tests.unittest.test_mars_air_ui.TestReturnToHome","","test_return_to_home_via_home_hyperlink",""
"failed","Thu Mar 07 23:39:02 SGT 2024","Thu Mar 07 23:39:02 SGT 2024","414","","tests.unittest.test_mars_air.TestPromo-20240307233855","","tests.unittest.test_mars_air.TestPromo","","test_invalid_promo_whitespace_input",""
"failed","Thu Mar 07 23:38:58 SGT 2024","Thu Mar 07 23:38:58 SGT 2024","918","","tests.unittest.test_mars_air.TestMarsAirBookWithPromoCode-20240307233855","","tests.unittest.test_mars_air.TestMarsAirBookWithPromoCode","","test_invalid_returning_date_earlier_than_departing",""
"passed","Thu Mar 07 23:39:02 SGT 2024","Thu Mar 07 23:39:02 SGT 2024","393","","tests.unittest.test_mars_air.TestPromo-20240307233855","","tests.unittest.test_mars_air.TestPromo","","test_valid_promo_90_percent_discount",""
"failed","Thu Mar 07 23:39:02 SGT 2024","Thu Mar 07 23:39:02 SGT 2024","987","","tests.unittest.test_mars_air.TestPromo-20240307233855","","tests.unittest.test_mars_air.TestPromo","","test_invalid_promo_00_percent_discount",""
"failed","Thu Mar 07 23:39:02 SGT 2024","Thu Mar 07 23:39:02 SGT 2024","406","","tests.unittest.test_mars_air.TestPromo-20240307233855","","tests.unittest.test_mars_air.TestPromo","","test_valid_promo_whitespace_padding",""
"failed","Thu Mar 07 23:38:57 SGT 2024","Thu Mar 07 23:38:57 SGT 2024","935","","tests.unittest.test_mars_air.TestBasicSearch-20240307233855","","tests.unittest.test_mars_air.TestBasicSearch","","test_basic_search_dep_ret_not_selected",""
"failed","Thu Mar 07 23:38:58 SGT 2024","Thu Mar 07 23:38:58 SGT 2024","376","","tests.unittest.test_mars_air.TestMarsAirBookWithPromoCode-20240307233855","","tests.unittest.test_mars_air.TestMarsAirBookWithPromoCode","","test_invalid_returning_date_same_as_departing",""
"passed","Thu Mar 07 23:38:57 SGT 2024","Thu Mar 07 23:38:57 SGT 2024","387","","tests.unittest.test_mars_air.TestBasicSearch-20240307233855","","tests.unittest.test_mars_air.TestBasicSearch","","test_basic_search_seat_unavailable",""
"passed","Thu Mar 07 23:39:02 SGT 2024","Thu Mar 07 23:39:02 SGT 2024","388","","tests.unittest.test_mars_air.TestPromo-20240307233855","","tests.unittest.test_mars_air.TestPromo","","test_valid_promo_10_percent_discount",""
"passed","Thu Mar 07 23:39:02 SGT 2024","Thu Mar 07 23:39:02 SGT 2024","385","","tests.unittest.test_mars_air.TestPromo-20240307233855","","tests.unittest.test_mars_air.TestPromo","","test_invalid_promo_invalid_checksum",""
"passed","Thu Mar 07 23:39:10 SGT 2024","Thu Mar 07 23:39:13 SGT 2024","3563","","tests.unittest.test_mars_air_ui.TestReturnToHome-20240307233855","","tests.unittest.test_mars_air_ui.TestReturnToHome","","test_return_to_home_via_back_hyperlink",""
"passed","Thu Mar 07 23:38:57 SGT 2024","Thu Mar 07 23:38:57 SGT 2024","409","","tests.unittest.test_mars_air.TestBasicSearch-20240307233855","","tests.unittest.test_mars_air.TestBasicSearch","","test_basic_search_seat_available",""
"passed","Thu Mar 07 23:38:58 SGT 2024","Thu Mar 07 23:38:58 SGT 2024","388","","tests.unittest.test_mars_air.TestMarsAirBookWithPromoCode-20240307233855","","tests.unittest.test_mars_air.TestMarsAirBookWithPromoCode","","test_invalid_returning_date_less_than_one_year",""
"passed","Thu Mar 07 23:39:02 SGT 2024","Thu Mar 07 23:39:02 SGT 2024","404","","tests.unittest.test_mars_air.TestPromo-20240307233855","","tests.unittest.test_mars_air.TestPromo","","test_valid_promo_non_alphanumeric_promo",""
